bouss,depth,fluo_440,fluo_470,fluo_532,cp,f440_f470,f532_f470,cluster,bb700
225,80,20.648569023569024,26.12878787878788,2.658249158249159,0.0772266666666667,0.7902612673560775,0.7460670296274822,0,657.5536264628979
225,70,21.12335216572505,28.637476459510356,2.9794413057124913,0.08575,0.7376122053069412,0.7629595531150786,0,642.4019481491799
225,60,29.50649350649351,42.46248196248197,4.940836940836941,0.10908,0.6948838631845445,0.8532898351259351,0,803.1842543841294
225,50,37.13333333333333,48.125,4.68840579710145,0.126256666666667,0.7716017316017316,0.7144237405106971,0,1013.0424159155793
225,40,42.07962061087061,51.83703632968339,4.922409776289626,0.129473333333333,0.8117674849936318,0.6963683545334173,0,1073.093133527819
225,30,37.52558257345492,61.626393110435664,5.861195542046605,0.13246,0.6089206373997642,0.6974625395429255,0,1038.2350489376283
225,20,45.88922205563885,54.8762910211561,5.576902025177888,0.149496666666667,0.8362303865971458,0.7452632230958232,0,1164.1820232791113
225,10,43.34700176366843,48.99118165784833,3.925213675213675,0.158706666666667,0.8847919216646266,0.5875526841939109,0,1090.3595249188363
225,5,29.479330560507027,52.918760048080536,5.667966192937125,0.163423333333333,0.5570676738026914,0.7854508566925482,0,1201.6668812673672
226,80,2.8445209409064844,1.3987378083763626,1.0309810671256443,0.0908800000000034,2.0336341263330606,5.405250205086129,0,675.5620137652346
226,40,24.666666666666668,30,3.1666666666666665,0.105830000000003,0.8222222222222223,0.7740740740740741,0,950.4158213970093
226,30,42.166666666666664,63.444444444444436,4.111111111111112,0.129505000000003,0.6646234676007006,0.47518972562755407,0,1188.9761801419866
226,20,92.33333333333333,111,8,0.142160000000003,0.8318318318318317,0.5285285285285285,1,1352.91373329588
226,10,81.39999999999999,94.6814814814815,7.411111111111111,0.145435000000003,0.8597246127366607,0.5740103270223751,1,1504.9542122815308
226,5,54.415305010893235,68.1486928104575,6.4602396514161216,0.153780000000003,0.7984790722580541,0.6951724064438957,1,1398.2743779132222
227,80,44.05462962962963,47.89135802469136,2.8018609295570074,0.090185,0.9198868323365643,0.4290331491433446,0,937.7178142264123
227,70,32.55886243386244,34.6845238095238,3.671957671957672,0.10173,0.9387144137444466,0.7763603658575344,1,948.0445818811263
227,60,30.772528554715688,32.91233407050313,3.305363054619861,0.110825,0.9349846926321403,0.7364816185715682,1,954.3569603003635
227,50,43.61330802852543,46.71972624798712,6.428055347272168,0.10789,0.9335094944055773,1.008975786725495,1,991.9223149638225
227,40,41.326961001961,44.60812657551788,4.2637652035296965,0.108565,0.9264446676996817,0.7009398038632628,1,1058.539887317598
227,30,46.978653930331404,53.58727485092883,5.400013852799231,0.12622,0.8766755551764567,0.7389833070883985,1,1120.109113888827
227,20,59.859657622739014,76.1928142931664,7.494042917324908,0.153855,0.7856338970813908,0.7212794964574272,1,1186.0836455940448
227,10,56.51917067443384,65.44794437653321,6.111386769563565,0.184275,0.8635744210585039,0.6847707248419277,1,1190.8767019525003
227,5,44.619075369075375,50.70283428968875,6.094982551831325,0.184215,0.880011462754645,0.8815392539607887,1,1090.3254114569327
228,80,43.13372891476342,53.494438398782584,6.7375841878330895,0.196622223333333,0.8063217449488178,0.92362780486542,1,939.3357286034401
228,70,63.50575821104125,81.41051282051284,7.412962962962962,0.22536889,0.7800682738733447,0.6677482613936354,1,1125.8541143577525
228,60,59.50597575458125,73.39744384343778,10.369940536687828,0.266835556666667,0.8107363504580886,1.0360882698393379,1,1270.9830490981665
228,50,103.54814987176307,132.246746504509,12.023299641035328,0.321733612083333,0.7829920403238999,0.6667148067136219,1,1358.5390268905946
228,40,137.8740093050835,181.64553942178827,16.91017908498274,0.373148334166667,0.7590277732333106,0.6826921285889028,1,1580.3631482718672
228,30,166.48031189083824,214.07244905365928,18.11920194436393,0.419325834166667,0.7776821007410831,0.6206970966109515,1,1802.1927020282865
228,20,227.79070148425993,294.9087252568144,25.58380993375538,0.443745834166667,0.7724108579218661,0.6361785532709925,1,2208.66799825993
228,10,273.51370679440487,340.83750259016836,30.70084920708786,0.441433334166667,0.8024753869977879,0.6605480885790057,1,2302.577215967439
228,5,244.9809191425858,315.45513673595224,28.10464377978251,0.435308334166667,0.7765951180171905,0.6533440006217188,1,2273.325768932127
228,80,43.13372891476342,53.494438398782584,6.7375841878330895,0.055973335,0.8063217449488178,0.92362780486542,1,939.3357286034401
228,70,63.50575821104125,81.41051282051284,7.412962962962962,0.057918335,0.7800682738733447,0.6677482613936354,1,1125.8541143577525
228,60,59.50597575458125,73.39744384343778,10.369940536687828,0.058368335,0.8107363504580886,1.0360882698393379,1,1270.9830490981665
228,50,103.54814987176307,132.246746504509,12.023299641035328,0.060698335,0.7829920403238999,0.6667148067136219,1,1358.5390268905946
228,40,137.8740093050835,181.64553942178827,16.91017908498274,0.113918335,0.7590277732333106,0.6826921285889028,1,1580.3631482718672
228,30,166.48031189083824,214.07244905365928,18.11920194436393,0.236323335,0.7776821007410831,0.6206970966109515,1,1802.1927020282865
228,20,227.79070148425993,294.9087252568144,25.58380993375538,0.356253335,0.7724108579218661,0.6361785532709925,1,2208.66799825993
228,10,273.51370679440487,340.83750259016836,30.70084920708786,0.531772779833333,0.8024753869977879,0.6605480885790057,1,2302.577215967439
228,5,244.9809191425858,315.45513673595224,28.10464377978251,0.532944446666667,0.7765951180171905,0.6533440006217188,1,2273.325768932127
230,80,9.195906432748536,1.1169590643274863,1.3213213213213233,0.059045,8.23298429319371,8.675062497052032,1,389.1460631284239
230,70,7.978260869565216,3.612318840579711,0.6775362318840573,0.06162,2.208625877632898,1.375459712470744,1,388.43632437000304
230,60,19.373611111111114,17.625,2.50138888888889,0.07152,1.0992119779353824,1.0407670081428952,1,458.9410238491983
230,50,45.324305555555554,52.96666666666667,5,0.14634,0.8557137612754352,0.6922592825676526,1,638.5744059791577
230,40,182.05555555555557,251.11111111111111,22.333333333333332,0.395505,0.7250000000000001,0.6522123893805309,1,1455.062913405358
230,30,214.52495543672015,267.7389277389277,24.810489510489514,0.38864,0.8012467863690836,0.6795559811944978,1,1800.1634038121597
230,20,47.69999624031882,54.28609168609169,4.6721833721833725,0.262605,0.8786780326007471,0.6311502080643668,1,1417.4271690502435
230,10,26.00980392156863,27.04901960784314,4.014705882352941,0.241955,0.9615802827111273,1.0884378397970278,2,1310.779174400601
230,5,27.71732026143791,31.486652236652237,4.605699855699856,0.24265,0.8802879408428625,1.0726809576731096,2,1233.8774479258782
232,80,3.7705802968960866,4.7341430499325154,2.616059379217274,0.0832233333333333,0.7964652223489181,4.052356518434062,1,500.57626593312324
232,70,11.789864864864867,16.377477477477473,2.5853603603603594,0.09106,0.7198828318389354,1.1576452683499274,1,631.538202603061
232,60,21.86473429951691,32.01449275362319,4.448470209339774,0.115226666666667,0.6829636336200393,1.0189795952584544,1,753.56847227511
232,50,162.1354252826027,233.94876964433413,21.15818858560794,0.237053333333333,0.6930381618552333,0.6632223365127208,1,1739.4507471197562
232,40,300.29487179487177,433.3717948717949,34.06410256410256,0.447133333333333,0.692926663313907,0.5764182666232779,1,1926.7850487624028
232,30,304.90185185185186,436.1259259259259,33.361111111111114,0.406593333333333,0.6991142551420759,0.5609575895510981,2,2159.503710301776
232,20,174.17579908675802,243.2214611872146,18.431506849315067,0.281613333333333,0.7161201903671234,0.5557255634510143,2,1977.5573866071568
232,10,27.947916666666668,34.24135220125786,3.057979559748427,0.19314,0.8162036505567674,0.6549152412658323,2,1458.5166533424022
232,5,13.239718147828588,17.029838941616337,2.640530629853321,0.164311666666667,0.777442358275878,1.1370566305398748,2,1174.0830834088397
233,70,17.514646464646464,23.824242424242424,7.227777777777779,0.0942633333333333,0.7351606885440516,2.2247802368636767,1,755.0132364067862
233,60,21.922932330827063,30.20071010860485,2.646198830409357,0.119993333333333,0.7259078429609751,0.6425497287939457,1,900.9925043981965
233,50,87.76889662870848,125.71101939251444,12.215829242008915,0.183416666666667,0.6981798179096999,0.7126085541874645,1,1440.6706800062802
233,40,158.75487685940035,223.71258025284484,20.182843606057006,0.313966666666667,0.70963768188616,0.6615967667552269,0,1682.5338409366677
233,30,158.7479213839508,212.78871209172442,18.843316331507726,0.26744,0.7460354443779007,0.6493968519571868,0,2036.127760910422
233,20,72.1324074074074,95.96712962962964,8.829629629629629,0.178213333333333,0.7516366039683725,0.6747166194700794,2,1559.3148879470232
233,10,67.92150451887294,90.8424167663477,7.840937711905453,0.14486,0.7476849134647225,0.6329665362734761,2,1355.1393087310016
233,5,5.333750016016712,7.138461732075748,1.8407469359734856,0.137423333333333,0.7471847880125491,1.8909971602355748,2,932.0681525383704
234,80,6.666666666666667,8.833333333333336,2.3333333333333335,0.080955,0.7547169811320753,1.9371069182389933,1,485.6414135492692
234,70,13.333333333333334,20.500000000000004,1.8333333333333333,0.105965,0.6504065040650405,0.6558265582655824,1,596.149715384474
234,60,50.90990497076023,73.46619152046783,8.08556175222842,0.14147,0.6929705204138237,0.8070939610340667,1,873.2771582988438
234,50,83.3179012345679,114.89583333333333,7.858255451713396,0.16961,0.7251603371276989,0.5015604567548714,0,945.8319128414591
234,40,103.31420062305853,142.07503635041803,13.753287841191066,0.234615,0.727180532744974,0.7098885684602377,0,1076.0215483129236
234,30,69.24103338682777,86.90828046280835,11.875597384487003,0.183515,0.7967138806348708,1.0020646328421277,2,1285.3618492249104
234,20,62.1618582375479,82.96992631630313,7.2652365039583096,0.171455,0.7492095147893778,0.642141115395431,2,1274.4047220252385
234,10,27.58254045834691,34.595637162586314,3.7078468298807277,0.142585,0.797283782597195,0.785962594782455,2,1144.3481915858692
234,5,12.840740740740742,15.212471123034502,4.870703933747413,0.144375,0.8440930232102448,2.347974581201556,2,1009.1923036665089
235,80,34.6489218328841,50.21922731356694,3.256139562743334,0.100666666666667,0.6899533044691738,0.4754823614540217,0,771.8856182248417
235,70,45.30555555555555,63.833333333333336,3.2055555555555553,0.123243333333333,0.7097476066144472,0.3682622570351029,0,847.783972159346
235,60,50.15809276043415,72.49579124579124,4.032006512006512,0.14085,0.6918759268434923,0.4078588183756253,0,967.1393984650985
235,50,73.00342802680932,105.25395195419468,6.848685318512904,0.157643333333333,0.6935932254456306,0.4771668084977757,0,1109.5035413041755
235,40,68.91331524967975,95.94117593799797,7.065742658856045,0.16235,0.7182871647749556,0.5400751622893394,0,1133.246504375513
235,30,39.0936026936027,47.61700336700337,4.630317137859037,0.148406666666667,0.8210009015538546,0.7130994520855579,2,1112.3500176756158
235,20,31.542176340592437,37.87291900908462,4.284907945736434,0.14917,0.8328424944754425,0.8296867284297907,2,1057.2203769077578
235,10,33.25925925925926,45.981481481481474,3.8148148148148153,0.153093333333333,0.7233185662505035,0.6084038125922945,2,1071.6226730834906
235,5,12.85897435897436,17.35042735042735,1.1132478632478626,0.14945,0.7411330049261085,0.4705254515599341,2,915.4220901946383
